,DATASET,COMPRESSION_TYPE,IMAGE,COMPRESSION_LEVEL,ACCURACY,F1_SCORE,MCC,JACCARD
134,comofod,JPEG,15,9,0.9016227722167969,0.16860633805087205,0.2859791312418719,0.09206449795803408
135,comofod,JPEG,16,1,0.9796066284179688,0.00037397157816005983,-0.0010434859555354839,0.0001870207593042828
136,comofod,JPEG,16,2,0.97967529296875,0.000375234521575985,-0.0005576180898634714,0.00018765246762994934
137,comofod,JPEG,16,3,0.9801864624023438,0.026246719160104987,0.11416796429760633,0.013297872340425532
138,comofod,JPEG,16,4,0.9803504943847656,0.04274298457535774,0.1450388308079758,0.021838207368021268
139,comofod,JPEG,16,5,0.9805641174316406,0.06359125160816026,0.17739344302473714,0.03283978739559605
140,comofod,JPEG,16,6,0.9808502197265625,0.09025009061254077,0.21318247186307532,0.047257544126020117
141,comofod,JPEG,16,7,0.9814872741699219,0.14484581497797358,0.27682089940721827,0.0780775075987842
142,comofod,JPEG,16,8,0.9832115173339844,0.28287436858399867,0.40144212013123975,0.16473714177263238
143,comofod,JPEG,16,9,0.9810066223144531,0.10272121102901424,0.23046017294640614,0.054141337386018236
144,comofod,JPEG,17,1,0.970947265625,0.06044905008635579,0.1714511785776966,0.031166518254674976
145,comofod,JPEG,17,2,0.9708938598632812,0.05755928853754941,0.16633344831984137,0.029632455805672135
146,comofod,JPEG,17,3,0.9707717895507812,0.05055762081784387,0.15404292868640956,0.02593440122044241
147,comofod,JPEG,17,4,0.9713325500488281,0.08498721539023499,0.20466354929172484,0.0443794506612411
148,comofod,JPEG,17,5,0.9712944030761719,0.08287629494210846,0.20161895030703414,0.04322949777495232
149,comofod,JPEG,17,6,0.9710884094238281,0.07063151440833844,0.1843325580802453,0.036608618278886486
150,comofod,JPEG,17,7,0.9723358154296875,0.14501296863947183,0.27288629279476084,0.07817465361637219
151,comofod,JPEG,17,8,0.9735946655273438,0.2160815402038505,0.3397607743139881,0.12112747587607922
152,comofod,JPEG,17,9,0.9720916748046875,0.13070342205323193,0.25793901482313203,0.0699211797609967
153,comofod,JPEG,18,1,0.9914398193359375,0.0,,0.0
